nis,nama,kelas,nilai_matematika,nilai_ipa,nilai_ips,kehadiran_persen
S-0001,Maya Pratama,9C,52,69,53,80
S-0002,Maya Lestari,7A,73,68,55,87
S-0003,Fajar Zulaikha,7C,51,49,61,93
S-0004,Joko Siregar,8B,70,54,61,80
S-0005,Taufik Safitri,7B,80,87,82,83
S-0006,Nanda Halim,7C,90,85,76,86
S-0007,Joko Pratama,9C,68,69,66,91
S-0008,Nanda Safitri,9B,64,70,65,78
S-0009,Joko Safitri,9C,78,81,88,72
S-0010,Andi Utami,9A,77,77,90,81
S-0011,Budi Anggraini,9C,91,100,95,79
S-0012,Oscar Pratama,7C,75,59,76,87
S-0013,Indah Siregar,7B,58,53,63,96
S-0014,Hadi Ramadhan,9A,59,61,68,91
S-0015,Nanda Wijaya,7B,60,62,71,74
S-0016,Taufik Siregar,7B,92,94,81,93
S-0017,Oscar Utami,9B,97,93,87,86
S-0018,Nanda Anggraini,8C,77,89,86,81
S-0019,Dewi Saputra,9A,95,88,93,71
S-0020,Taufik Saputra,9B,54,60,63,100
S-0021,Taufik Pratama,7B,97,99,82,98
S-0022,Andi Hidayat,7B,74,61,64,71
S-0023,Putri Siregar,9B,59,52,52,94
S-0024,Andi Tambunan,8A,83,90,94,82
S-0025,Indah Nugroho,9C,61,54,48,91
S-0026,Sari Zulaikha,8C,84,86,88,91
S-0027,Rangga Maulana,9A,73,85,76,84
S-0028,Umi Maulana,9B,66,61,69,88
S-0029,Fajar Utami,7C,92,93,82,93
S-0030,Putri Halim,7B,57,62,67,78
S-0031,Eko Utami,8A,55,65,50,93
S-0032,Andi Hidayat,9B,58,70,63,77
S-0033,Dewi Yuliana,9C,59,66,62,90
S-0034,Nanda Safitri,9C,54,62,51,87
S-0035,Kartika Utami,9C,65,57,72,80
S-0036,Joko Purnama,9A,98,89,83,74
S-0037,Umi Firmansyah,8C,95,87,83,97
S-0038,Fajar Purnama,7B,73,72,88,93
S-0039,Rangga Yuliana,8B,84,71,83,88
S-0040,Gita Anggraini,8A,74,71,85,70
S-0041,Putri Purnama,8A,75,57,58,72
S-0042,Lukman Saputra,7B,78,77,82,90
S-0043,Citra Purnama,8C,88,100,97,84
S-0044,Taufik Maulana,8A,73,53,62,73
S-0045,Kartika Tambunan,8A,77,64,71,77
S-0046,Andi Yuliana,7A,72,72,68,97
S-0047,Kartika Maulana,7A,52,53,62,97
S-0048,Umi Purnama,9B,58,65,50,84
S-0049,Hadi Purnama,8B,64,66,63,73
S-0050,Oscar Halim,9C,75,81,84,73
S-0051,Joko Utami,9A,73,65,75,95
S-0052,Lukman Ramadhan,9B,87,86,94,76
S-0053,Dewi Tambunan,7C,76,87,86,72
S-0054,Hadi Utami,9A,60,48,54,85
S-0055,Taufik Tambunan,7A,60,63,62,89
S-0056,Budi Tambunan,9B,82,71,76,84
S-0057,Gita Yuliana,9B,83,85,70,98
S-0058,Putri Nugroho,7B,73,79,75,75
S-0059,Putri Firmansyah,9C,67,62,58,72
S-0060,Taufik Halim,7C,95,98,83,93
S-0061,Umi Safitri,9C,66,58,66,93
S-0062,Umi Wibowo,8B,86,87,93,82
S-0063,Putri Ramadhan,9C,97,100,96,89
S-0064,Taufik Wijaya,8A,89,90,93,72
S-0065,Kartika Wijaya,8A,70,65,59,73
S-0066,Budi Ramadhan,7C,85,97,90,73
S-0067,Indah Maulana,9B,80,75,87,78
S-0068,Budi Nugroho,8A,71,77,72,77
S-0069,Andi Saputra,9A,75,68,76,75
S-0070,Fajar Safitri,9C,84,86,82,78
S-0071,Citra Nugroho,9A,75,83,74,77
S-0072,Joko Purnama,7C,59,63,50,94
S-0073,Hadi Yuliana,9B,54,58,53,92
S-0074,Kartika Wijaya,9B,76,94,82,77
S-0075,Indah Wijaya,8C,78,77,73,86
S-0076,Fajar Maulana,9C,63,47,58,73
S-0077,Lukman Yuliana,9A,81,68,72,79
S-0078,Andi Safitri,9B,83,87,81,85
S-0079,Hadi Kusuma,7B,82,92,87,100
S-0080,Fajar Nugroho,9C,95,97,91,98
S-0081,Kartika Pratama,9A,62,70,66,96
S-0082,Oscar Siregar,8B,72,87,84,88
S-0083,Maya Siregar,7B,65,68,77,99
S-0084,Joko Pratama,7A,68,75,61,90
S-0085,Citra Kusuma,7B,62,62,49,88
S-0086,Umi Safitri,8B,92,74,91,100
S-0087,Eko Utami,8A,95,100,100,82
S-0088,Taufik Firmansyah,8B,84,82,87,71
S-0089,Citra Purnama,8C,70,76,70,75
S-0090,Nanda Pratama,8A,92,85,94,77
S-0091,Dewi Yuliana,8B,75,67,73,76
S-0092,Gita Hidayat,7C,90,98,87,74
S-0093,Sari Kusuma,9A,91,93,95,93
S-0094,Rangga Firmansyah,8C,87,91,77,93
S-0095,Eko Wijaya,8C,71,62,63,100
S-0096,Putri Nugroho,9A,99,95,90,73
S-0097,Fajar Kusuma,7C,83,87,73,71
S-0098,Budi Yuliana,8C,61,67,61,87
S-0099,Andi Safitri,7A,87,98,93,99
S-0100,Hadi Nugroho,9A,81,91,79,79
S-0101,Budi Maulana,8B,56,57,65,77
S-0102,Indah Anggraini,9B,92,85,96,74
S-0103,Rangga Ramadhan,9A,75,86,85,76
S-0104,Budi Maulana,7A,66,68,74,95
S-0105,Joko Hidayat,9C,72,74,68,81
S-0106,Oscar Tambunan,7C,60,64,60,73
S-0107,Joko Purnama,8A,93,94,81,77
S-0108,Eko Purnama,8A,77,74,80,96
S-0109,Umi Zulaikha,8B,88,100,99,91
S-0110,Oscar Safitri,9B,77,68,62,90
S-0111,Joko Wibowo,9B,48,57,65,78
S-0112,Gita Firmansyah,9A,55,59,57,73
S-0113,Maya Halim,9C,66,61,76,88
S-0114,Eko Pratama,9C,81,77,81,74
S-0115,Budi Wibowo,8A,73,90,88,96
S-0116,Oscar Utami,9C,66,55,65,86
S-0117,Lukman Tambunan,8C,63,66,68,70
S-0118,Indah Yuliana,7C,72,76,62,87
S-0119,Dewi Yuliana,9B,65,65,64,96
S-0120,Nanda Hidayat,9A,87,100,99,92
S-0121,Eko Nugroho,8B,84,70,70,90
S-0122,Oscar Wijaya,7B,65,65,70,85
S-0123,Indah Lestari,9C,70,60,75,99
S-0124,Sari Pratama,9A,66,71,63,87
S-0125,Maya Purnama,8B,59,65,70,83
S-0126,Joko Firmansyah,8A,71,83,76,81
S-0127,Putri Wibowo,8B,65,69,69,74
S-0128,Taufik Wibowo,7B,88,91,100,99
S-0129,Gita Kusuma,7C,61,64,78,99
S-0130,Lukman Yuliana,7B,93,83,87,85
S-0131,Kartika Zulaikha,9C,87,73,82,93
S-0132,Indah Yuliana,9A,59,69,67,96
S-0133,Nanda Firmansyah,7A,61,56,71,87
S-0134,Nanda Siregar,9C,91,84,84,85
S-0135,Eko Utami,7B,60,59,77,96
S-0136,Hadi Utami,7C,51,57,61,91
S-0137,Dewi Utami,9A,77,61,68,96
S-0138,Putri Nugroho,8A,66,82,74,97
S-0139,Fajar Anggraini,7A,73,77,68,88
S-0140,Fajar Purnama,7C,80,74,82,97
S-0141,Lukman Wijaya,7C,94,97,83,70
S-0142,Putri Pratama,9C,66,77,65,86
S-0143,Hadi Firmansyah,7A,67,69,64,95
S-0144,Joko Wibowo,7A,58,53,61,97
S-0145,Andi Wibowo,7B,90,96,85,79
S-0146,Andi Halim,8A,94,100,91,99
S-0147,Putri Kusuma,9B,54,63,69,76
S-0148,Dewi Anggraini,9B,77,86,83,71
S-0149,Fajar Purnama,8C,84,82,89,83
S-0150,Lukman Anggraini,9A,66,79,70,89
S-0151,Sari Firmansyah,7A,72,58,58,99
S-0152,Budi Saputra,8C,63,63,62,78
S-0153,Budi Utami,9B,81,90,72,71
S-0154,Budi Utami,9C,89,85,82,72
S-0155,Lukman Lestari,9B,85,96,88,98
S-0156,Sari Pratama,8A,95,95,90,84
S-0157,Taufik Yuliana,8A,82,82,81,79
S-0158,Indah Wibowo,7B,69,64,64,98
S-0159,Kartika Safitri,8A,75,79,76,93
S-0160,Umi Zulaikha,9A,61,64,54,77
S-0161,Rangga Halim,9A,79,63,64,93
S-0162,Dewi Pratama,7B,81,74,77,98
S-0163,Citra Pratama,9C,79,91,83,77
S-0164,Joko Purnama,9B,70,73,72,93
S-0165,Rangga Ramadhan,8A,72,76,69,92
S-0166,Budi Wibowo,9A,60,59,54,97
S-0167,Rangga Wibowo,9A,97,87,98,73
S-0168,Joko Tambunan,8B,54,69,61,83
S-0169,Kartika Siregar,9C,85,95,87,91
S-0170,Putri Lestari,7A,94,98,94,83
S-0171,Oscar Wibowo,8C,92,87,73,90
S-0172,Citra Kusuma,8C,100,95,87,99
S-0173,Budi Utami,9C,92,98,82,79
S-0174,Dewi Purnama,7B,88,80,94,70
S-0175,Sari Lestari,8B,54,45,49,94
S-0176,Hadi Wibowo,8C,87,97,91,88
S-0177,Dewi Anggraini,7B,62,69,72,90
S-0178,Rangga Pratama,7A,72,79,72,80
S-0179,Dewi Anggraini,7C,65,71,78,90
S-0180,Eko Anggraini,9B,65,73,75,99
S-0181,Andi Halim,7B,79,80,82,80
S-0182,Umi Hidayat,9A,69,69,81,96
S-0183,Maya Saputra,8B,80,78,88,89
S-0184,Joko Anggraini,8B,81,69,82,94
S-0185,Indah Yuliana,7A,87,91,75,76
S-0186,Andi Wibowo,8A,58,71,63,87
S-0187,Gita Maulana,8B,84,71,68,75
S-0188,Umi Safitri,7B,88,95,92,79
S-0189,Taufik Safitri,9C,77,84,80,92
S-0190,Fajar Yuliana,7C,74,73,86,98
S-0191,Eko Nugroho,9A,58,52,65,83
S-0192,Joko Zulaikha,7A,76,86,66,86
S-0193,Oscar Siregar,7B,64,71,65,84
S-0194,Taufik Hidayat,8C,82,99,96,97
S-0195,Eko Utami,8C,72,65,74,81
S-0196,Putri Halim,8A,78,64,75,93
S-0197,Eko Maulana,9C,100,94,99,76
S-0198,Dewi Wijaya,7B,58,65,59,80
S-0199,Maya Pratama,9A,91,88,87,72
S-0200,Joko Ramadhan,7B,45,53,48,75
S-0201,Kartika Tambunan,9B,74,66,74,89
S-0202,Andi Kusuma,8C,68,81,77,98
S-0203,Budi Zulaikha,8B,69,53,73,75
S-0204,Lukman Purnama,7C,54,62,57,85
S-0205,Indah Ramadhan,7A,90,79,87,85
S-0206,Andi Ramadhan,7C,71,76,70,95
S-0207,Andi Saputra,9C,83,71,69,89
S-0208,Hadi Firmansyah,9B,72,73,69,88
S-0209,Oscar Wibowo,9B,68,59,53,90
S-0210,Joko Lestari,8C,71,64,58,91
S-0211,Putri Anggraini,7C,79,82,86,83
S-0212,Maya Utami,9B,78,92,89,77
S-0213,Putri Kusuma,7B,96,86,95,81
S-0214,Putri Maulana,8B,69,81,66,70
S-0215,Oscar Maulana,8C,55,52,62,70
S-0216,Gita Tambunan,7A,74,65,83,73
S-0217,Indah Yuliana,9A,85,88,84,84
S-0218,Andi Hidayat,8C,63,57,55,85
S-0219,Gita Kusuma,9A,69,79,71,99
S-0220,Hadi Yuliana,7B,64,78,74,70
S-0221,Sari Firmansyah,9C,47,61,48,72
S-0222,Budi Kusuma,7C,69,87,73,86
S-0223,Putri Kusuma,8C,95,86,88,92
S-0224,Citra Anggraini,7B,83,84,75,71
S-0225,Andi Utami,8A,82,87,89,90
S-0226,Kartika Siregar,8C,67,52,55,74
S-0227,Rangga Ramadhan,8C,67,68,63,89
S-0228,Nanda Utami,7A,58,69,61,89
S-0229,Nanda Yuliana,8B,87,97,100,78
S-0230,Gita Nugroho,9A,87,93,92,73
S-0231,Hadi Nugroho,9A,74,66,82,99
S-0232,Citra Saputra,9B,78,81,76,82
S-0233,Indah Purnama,8C,82,77,84,74
S-0234,Lukman Firmansyah,7C,77,80,62,84
S-0235,Putri Wibowo,9B,89,83,80,92
S-0236,Hadi Ramadhan,9C,83,89,86,78
S-0237,Taufik Kusuma,8B,85,94,97,85
S-0238,Eko Wijaya,7B,51,53,65,88
S-0239,Hadi Hidayat,8A,67,66,73,75
S-0240,Budi Wijaya,8B,78,72,86,86
S-0241,Andi Lestari,9C,80,94,92,87
S-0242,Andi Safitri,9B,56,58,55,90
S-0243,Umi Utami,7C,79,85,81,95
S-0244,Andi Pratama,8B,88,69,71,72
S-0245,Oscar Lestari,7A,85,91,77,97
S-0246,Sari Maulana,9B,87,86,89,84
S-0247,Kartika Utami,7C,79,76,77,99
S-0248,Kartika Purnama,8A,64,58,61,89
S-0249,Gita Tambunan,7C,86,94,78,100
S-0250,Dewi Siregar,8B,63,62,68,88
S-0251,Lukman Wijaya,9A,83,71,80,78
S-0252,Fajar Wijaya,8C,77,81,89,92
S-0253,Budi Kusuma,9B,53,63,65,83
S-0254,Maya Siregar,8B,62,66,61,85
S-0255,Indah Saputra,7C,80,61,79,96
S-0256,Budi Ramadhan,7C,57,73,58,85
S-0257,Dewi Kusuma,7A,77,81,89,74
S-0258,Taufik Kusuma,8C,67,76,85,70
S-0259,Eko Wijaya,7C,78,77,70,90
S-0260,Umi Halim,7C,77,63,75,99
S-0261,Eko Wibowo,7B,72,65,79,96
S-0262,Lukman Zulaikha,7B,74,73,78,88
S-0263,Putri Halim,7B,54,71,71,85
S-0264,Kartika Siregar,9C,94,93,94,75
S-0265,Maya Utami,8C,85,94,99,85
S-0266,Oscar Purnama,7B,66,72,73,75
S-0267,Rangga Tambunan,7B,79,80,74,88
S-0268,Kartika Purnama,7C,73,82,66,83
